url,hotel_name,address,stars,reviews_count,reviews_grade,grades_staff,grades_facilities,grades_cleanliness,grades_comfort,grades_value_for_money,grades_location,sustainable_level,most_popular_facilities,highlights
https://www.booking.com/hotel/sg/wanderloft-capsule-hostel.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=340810204_209142531_1_0_0&highlighted_blocks=340810204_209142531_1_0_0&matching_block_id=340810204_209142531_1_0_0&sr_pri_blocks=340810204_209142531_1_0_0__9200&from=searchresults#hotelTmpl&selected_currency=USD,Wanderloft Capsule Hostel,"49a South Bridge Road, Boat Quay, 058681 Singapore, Singapore",1,1276,7.9,8.4,7.8,8.1,8.0,7.9,9.3,,"Air conditioning, Free WiFi, Laundry, Non-smoking rooms","Situated in the real heart of Singapore, this property has an excellent location score of 9.3, Popular with solo travellers, City view"
https://www.booking.com/hotel/sg/clifden-hostel.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=152266313_164331022_0_0_0&highlighted_blocks=152266313_164331022_0_0_0&matching_block_id=152266313_164331022_0_0_0&sr_pri_blocks=152266313_164331022_0_0_0__5760&from_sustainable_property_sr=1&from=searchresults#hotelTmpl&selected_currency=USD,7 Wonders Hostel at Upper Dickson,"12A Upper Dickson Road, Little India, 207472 Singapore, Singapore",1,914,6.6,8.3,6.5,6.8,6.8,7.1,7.8,1.0,"Air conditioning, Airport shuttle, Daily housekeeping, Family rooms, Free WiFi, Laundry, Luggage storage, Non-smoking rooms",Popular with solo travellers
https://www.booking.com/hotel/sg/all-days-inn-checkers-inn.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=119264416_295906873_0_0_0&highlighted_blocks=119264416_295906873_0_0_0&matching_block_id=119264416_295906873_0_0_0&sr_pri_blocks=119264416_295906873_0_0_0__6534&from=searchresults#hotelTmpl&selected_currency=USD,Campbell Inn,"50 Campbell Lane, Little India, 209922 Singapore, Singapore",1,622,5.0,6.9,5.5,5.3,5.4,5.8,7.1,,"Air conditioning, Family rooms, Free WiFi, Laundry, Luggage storage, Non-smoking rooms",Popular with solo travellers
https://www.booking.com/hotel/sg/serviceworld-hostel.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=84961611_250618282_0_0_0&highlighted_blocks=84961611_250618282_0_0_0&matching_block_id=84961611_250618282_0_0_0&sr_pri_blocks=84961611_250618282_0_0_0__10350&from=searchresults#hotelTmpl&selected_currency=USD,CSW Hostel,"5 Banda Street, #02-82, Chinatown, 050005 Singapore, Singapore",1,424,7.8,9.2,7.4,8.3,7.9,8.0,9.1,,"Air conditioning, Daily housekeeping, Family rooms, Free WiFi, Laundry, Lift, Luggage storage, Parking","Situated in the real heart of Singapore, this property has an excellent location score of 9.1, Popular with solo travellers"
https://www.booking.com/hotel/sg/kawan-hostel.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=45147113_123047380_1_0_0&highlighted_blocks=45147113_123047380_1_0_0&matching_block_id=45147113_123047380_1_0_0&sr_pri_blocks=45147113_123047380_1_0_0__8535&from_sustainable_property_sr=1&from=searchresults#hotelTmpl&selected_currency=USD,Snooze Inn @Dunlop Street,"28 Dunlop Street, Little India, 209356 Singapore, Singapore",1,190,5.3,7.6,5.5,5.6,5.7,5.8,7.7,1.0,"24-hour front desk, Air conditioning, Airport shuttle (free), Daily housekeeping, Family rooms, Free WiFi, Laundry, Non-smoking rooms, Parking, Restaurant",Popular with solo travellers
https://www.booking.com/hotel/sg/river-city-inn.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=138355505_91953608_0_0_0&highlighted_blocks=138355505_91953608_0_0_0&matching_block_id=138355505_91953608_0_0_0&sr_pri_blocks=138355505_91953608_0_0_0__7412&from=searchresults#hotelTmpl&selected_currency=USD,River City Inn,"33C Hong Kong Street, Clarke Quay, Boat Quay, 059672 Singapore, Singapore",1,251,6.9,7.9,7.1,7.4,7.2,7.2,8.7,,"Air conditioning, Daily housekeeping, Family rooms, Free WiFi, Laundry, Non-smoking rooms","Situated in the real heart of Singapore, this property has an excellent location score of 8.7, Popular with solo travellers"
https://www.booking.com/hotel/sg/istay-inn-singapore.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=45604018_91929659_1_0_0&highlighted_blocks=45604018_91929659_1_0_0&matching_block_id=45604018_91929659_1_0_0&sr_pri_blocks=45604018_91929659_1_0_0__8370&from=searchresults#hotelTmpl&selected_currency=USD,BEAT Arts Hostel at Chinatown,"211A - 217A South Bridge Road, Chinatown, 058764 Singapore, Singapore",1,479,6.9,7.7,6.9,7.1,7.0,7.3,9.0,,"Air conditioning, Designated smoking area, Family rooms, Free WiFi, Laundry, Luggage storage, Non-smoking rooms, Terrace","Situated in the real heart of Singapore, this property has an excellent location score of 9.0, Popular with solo travellers"
https://www.booking.com/hotel/sg/k-space-inn-569.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=622302005_279844335_1_0_0&highlighted_blocks=622302005_279844335_1_0_0&matching_block_id=622302005_279844335_1_0_0&sr_pri_blocks=622302005_279844335_1_0_0__9790&from=searchresults#hotelTmpl&selected_currency=USD,K Space Inn 569,"569 Serangoon Road, Lavender, 218184 Singapore, Singapore",1,162,4.6,6.2,5.2,5.2,5.5,5.4,6.3,,"Air conditioning, Free WiFi, Non-smoking rooms",Popular with solo travellers
https://www.booking.com/hotel/sg/k2-guest-house.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=323477007_0_1_1_0&highlighted_blocks=323477007_0_1_1_0&matching_block_id=323477007_0_1_1_0&sr_pri_blocks=323477007_0_1_1_0__23788&from_sustainable_property_sr=1&from=searchresults#hotelTmpl&selected_currency=USD,K2 Guesthouse,"15 South Buona Vista Road, 118146 Singapore, Singapore",1,282,7.3,8.5,7.3,7.8,7.7,7.3,7.6,3.0,"Airport shuttle, BBQ facilities, Breakfast, Family rooms, Free WiFi, Free parking, Garden, Laundry, Non-smoking rooms, Terrace","Popular with solo travellers, Terrace, Quiet street view, Free parking available at the hotel"
https://www.booking.com/hotel/sg/b88-hostel.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=44606003_335385511_0_0_0&highlighted_blocks=44606003_335385511_0_0_0&matching_block_id=44606003_335385511_0_0_0&sr_pri_blocks=44606003_335385511_0_0_0__11600&from=searchresults#hotelTmpl&selected_currency=USD,K2 Guesthouse Central,"134 Jalan Besar , 208852 Singapore, Singapore",1,203,6.4,7.6,6.5,6.8,6.8,6.7,8.2,,"Air conditioning, Designated smoking area, Free WiFi, Laundry, Luggage storage, Non-smoking rooms, Restaurant","Top location: Highly rated by recent guests (8.2), Popular with solo travellers"
https://www.booking.com/hotel/sg/ibis-budget-singapore-pearl.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=2507114_199630481_2_0_0&highlighted_blocks=2507114_199630481_2_0_0&matching_block_id=2507114_199630481_2_0_0&sr_pri_blocks=2507114_199630481_2_0_0__18863&from=searchresults#hotelTmpl&selected_currency=USD,ibis budget Singapore Pearl,"No. 21, Geylang Lorong 14, 398 961 Singapore, Singapore",2,1478,6.9,8.0,7.0,7.4,7.2,7.2,7.2,,"24-hour front desk, Air conditioning, Breakfast, Facilities for disabled guests, Family rooms, Free WiFi, Free parking, Laundry, Lift, Non-smoking rooms","Popular with solo travellers, Free parking available at the hotel"
https://www.booking.com/hotel/sg/ibis-budget-singapore-joo-chiat.en-gb.html?label=English_Singapore_EN_SG_28510486825-nBtHne53Yd9xDY0PbqIjrAS217274099270%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi55335534269%3Atidsa-323225892678%3Alp9062510%3Ali%3Adec%3Adm&sid=d02d149c7284020b46f6c65a61bfb865&aid=318615&ucfs=1&arphpl=1&checkin=2024-05-08&checkout=2024-05-10&dest_id=-73635&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=class_asc&srpvid=868935edb09000d9&srepoch=1707637212&all_sr_blocks=2507318_199630459_2_0_0&highlighted_blocks=2507318_199630459_2_0_0&matching_block_id=2507318_199630459_2_0_0&sr_pri_blocks=2507318_199630459_2_0_0__20503&from=searchresults#hotelTmpl&selected_currency=USD,ibis budget Singapore Joo Chiat,"219 Joo Chiat Road, Katong, 427485 Singapore, Singapore",2,1748,7.6,8.5,7.5,8.1,8.0,7.9,7.9,,"24-hour front desk, Air conditioning, Breakfast, Facilities for disabled guests, Family rooms, Free WiFi, Free parking, Laundry, Lift, Non-smoking rooms","Popular with solo travellers, Free parking available at the hotel, There are more repeat guests here than most other properties."
